# SCE Subscribers @2019-10-09T19:19:48Z
# CSV line format: subscriber-id, domain, mappings, package-id
2ca17d6a4db5,,78.29.182.131,1200
2ca17d647311,,128.65.235.201,1200
2ca17d6473b3,,128.65.240.123,1200
00265b3a15a0,,128.65.253.148,1200
0c473d163590,,78.29.186.229,1200
1cabc0d06560,,78.29.141.234,1100
bc1401a5c6d0,,78.29.158.119,1100
84948cf469f0,,128.65.238.97,1200
f0f249c91420,,78.29.128.132,1100
84948ca3d360,,78.29.189.173,1100
788df705ce20,,78.29.191.103,1200
bc1401c947a0,,78.29.146.125,1100
1cabc0d81870,,78.29.153.64,1100
788df70641f0,,78.29.158.16,1100
a84e3f1be810,,78.29.187.207,1100
00265b8a7020,,78.29.190.125,1100
0005cabdf190,,78.29.130.153,1100
7c26343a748e,,78.29.135.92,1100
788df7058d10,,78.29.144.9,1100
84948ca76db0,,128.65.241.144,1100
1cabc01ed740,,128.65.242.111,1200
68b6fc8fec10,,78.29.189.186,1100
68b6fc800240,,78.29.130.197,1100
bc1401a62520,,78.29.133.74,1120
a84e3f3139c0,,78.29.146.248,1200
84948ca945c0,,128.65.230.107,1030
1cabc0cf5620,,128.65.234.198,1100
f0f2499a0760,,128.65.240.206,1200
a84e3f2c8310,,78.29.162.188,1200
1cabc0d81f80,,78.29.145.184,1100
f0f249c3e680,,78.29.152.90,1100
2ca17d5df889,,81.20.251.198,1100
68b6fc8e93b0,,128.65.231.10,1200
a84e3f2d7960,,78.29.184.121,1100
00fc8d6ad300,,78.29.189.54,1200
bc4dfb50c760,,78.29.183.159,1060
bc4dfb505ad0,,81.20.250.153,1100
0005ca94fd60,,128.65.230.90,1100
f0f2491aa7e0,,128.65.230.193,1200
84948c06f5c0,,128.65.247.121,1100
84948c9fd370,,78.29.166.163,1200
84948ca27bf0,,78.29.174.33,1100
00fc8dbf03a0,,81.20.251.70,1100
2ca17d512fe9,,78.29.161.59,1200
00fc8d6a5b20,,78.29.128.40,1120
84948c096110,,78.29.145.255,1100
1cb04492a08e,,78.29.149.184,1400
0c473d11af70,,81.20.245.175,1100
bc1401b07150,,78.29.164.103,1100
0c473d1123f0,,78.29.184.6,1100
0c473d154b60,,78.29.185.158,1100
f0f24957c230,,78.29.131.18,1100
a84e3f332200,,78.29.141.238,1100
a84e3f27cbd0,,81.20.253.132,1100
84948c667450,,128.65.232.46,1100
68b6fc850da0,,78.29.160.29,1120
bc1401058ea0,,78.29.144.163,1100
0c473d153a80,,78.29.156.253,1100
68b6fce30f50,,78.29.188.152,1100
84948c7d2ce0,,78.29.128.129,1030
0c473d11a8f0,,81.20.245.222,1100
4434a72ce3bc,,128.65.224.151,1100
84948c04fdf0,,128.65.233.164,1200
2ca17d58dac1,,128.65.243.15,1100
8c5bf07ca67a,,78.29.171.139,1100
00fc8d6bde40,,78.29.187.247,1100
84948c09fc00,,78.29.142.83,1100
2ca17d71c0cb,,81.20.251.102,1100
84948ced0b50,,128.65.228.247,1100
f0f249c63750,,128.65.252.144,1100
a84e3f2ffc70,,78.29.172.171,1100
0c473d135d70,,78.29.175.48,1100
2ca17d57aa95,,78.29.181.17,1100
00fc8dbd3720,,78.29.190.56,1100
84948c65a5f0,,78.29.146.98,1100
bc1401af1c00,,128.65.247.20,1100
8c5bf08101ea,,78.29.167.196,1100
a84e3f2ffcd0,,78.29.171.108,1200
bc14011af4c0,,78.29.178.56,1100
84948c05c4d0,,78.29.182.151,1030
a84e3f30b520,,78.29.188.162,1100
2ca17d57e407,,78.29.152.75,1200
0c473d159710,,81.20.253.11,1100
bc1401742c50,,128.65.254.9,1200
7c26343ae0d6,,78.29.191.207,1100
4434a72ceda6,,78.29.132.51,1120
0c473d0b5a40,,78.29.133.83,1100
1cabc0dad2d0,,78.29.191.219,1100
a84e3f2b2090,,78.29.131.55,1200
bc14017379a0,,78.29.133.144,1100
68b6fc5c61a0,,78.29.144.143,1100
84948c69f450,,78.29.158.132,1100
0005caaccf60,,78.29.158.184,1100
2ca17d67acbf,,81.20.252.248,1100
1cabc0d81180,,128.65.226.117,1100
2ca17d595edf,,78.29.170.76,1100
f0f249c97f30,,78.29.173.160,1030
2ca17d5d6d3f,,78.29.183.91,1100
bc14019c31d0,,78.29.149.196,1100
84948cf7eee0,,78.29.158.179,1200
a84e3f34c6b0,,81.20.253.170,1100
68b6fcb3a0d0,,128.65.241.155,1100
84948cf090c0,,78.29.162.17,1100
7c26343a7068,,78.29.165.70,1100
bc4dfb510920,,78.29.170.158,1100
1cabc01ed770,,78.29.154.0,1100
1cabc0cca350,,78.29.183.44,1100
4434a72cecbc,,78.29.188.188,1200
1cabc01f7e40,,78.29.150.101,1100
0005caae8710,,78.29.153.83,1100
0c473d151720,,78.29.155.166,1100
0c473d11b170,,128.65.225.87,1100
84948c7cdd90,,128.65.225.228,1200
bc4dfb515070,,78.29.186.152,1100
f0f24959ddf0,,78.29.133.173,1100
84948c811c50,,78.29.139.206,1100
84948c659010,,78.29.151.69,1100
a84e3f2854c0,,81.20.250.160,1100
68b6fc6303c0,,81.20.250.210,1100
84948c686970,,81.20.252.31,1100
a84e3f2ffda0,,128.65.229.126,1100
bc4dfb504250,,128.65.234.70,1200
2ca17d6acce7,,78.29.179.100,1100
8c5bf076d11c,,78.29.143.150,1200
8c5bf076d044,,78.29.144.96,1100
00fc8dbf1d40,,81.20.255.179,1100
001f33a81d76,,128.65.244.177,1010
f0f2499917a0,,128.65.245.6,1100
bc4dfb502130,,128.65.246.120,1100
a84e3f334240,,128.65.253.39,1100
00fc8dbee580,,78.29.188.252,1100
8c5bf07be23c,,78.29.149.71,1100
0c473d1608a0,,81.20.248.172,1100
f0f249c494c0,,78.29.161.17,1100
bc14019dfb50,,78.29.163.88,1100
68b6fc309ae0,,78.29.165.232,1100
0c473d119100,,78.29.172.112,1100
f0f24999b560,,78.29.175.121,1200
00fc8d663390,,78.29.146.15,1100
2ca17d6e8b31,,81.20.252.201,1100
f0f249980b90,,128.65.237.99,1100
7c26343add2e,,78.29.162.154,1100
f0f2491a7370,,78.29.163.43,1100
00265b8ae900,,78.29.180.141,1100
f0f2491a3f80,,78.29.134.99,1100
84948cf82b70,,78.29.147.44,1200
84948cf77e80,,78.29.150.204,1200
a84e3f290b90,,128.65.224.106,1100
f0f249c921b0,,128.65.229.41,1100
f0f249c5fa10,,128.65.239.237,1100
84948c06d990,,128.65.247.111,1100
84948caab120,,78.29.186.188,1200
bc140105ccb0,,78.29.133.78,1100
001f33a8928e,,78.29.152.174,1010
7c26343f4af8,,78.29.154.74,1200
68b6fc5b8e40,,78.29.146.100,1200
bc1401a62050,,78.29.158.130,1100
1cabc0cd0f50,,81.20.252.123,1100
1cabc0d739c0,,128.65.227.37,1100
2ca17d57e8f3,,128.65.229.91,1200
1cabc0cf8990,,128.65.252.68,1100
84948c813fa0,,78.29.177.46,1100
bc14019c5d40,,78.29.189.217,1100
f0f2494debe0,,78.29.146.62,1200
1cabc01e1b40,,78.29.155.186,1100
